Community_Number,Community_Name,Population,Latitude,Longitude,Coordinate_Source
824,UMM AL DAMAN,283,25.9682,56.0077,Detailed_Mapping
826,LE HEMAIRA,53,25.9732,56.0127,Detailed_Mapping
831,LEHBAB SECOND,1511,25.9782,56.0177,Detailed_Mapping
835,UMM AL MO'MENEEN,309,25.9832,56.0227,Detailed_Mapping
841,MARGHAM,1005,25.9882,56.0277,Detailed_Mapping
845,AL MAHA,193,25.9932,56.0327,Detailed_Mapping
847,UMM ESELAY,204,25.9982,56.0377,Detailed_Mapping
851,REMAH,232,26.0032,56.0427,Detailed_Mapping
857,MARGAB,628,26.0082,56.0477,Detailed_Mapping
861,YARAAH,94,26.0132,56.0527,Detailed_Mapping
891,HATTA,14045,24.8,56.1,Detailed_Mapping
911,UMM NAHAD FIRST,8,26.0182,56.0577,Detailed_Mapping
912,UMM NAHAD SECOND,2,26.0232,56.0627,Detailed_Mapping
913,UMM NAHAD THIRD,1347,26.0282,56.0677,Detailed_Mapping
914,UMM NAHAD FOURTH,4,26.0332,56.0727,Detailed_Mapping
915,AL YUFRAH 1,403,26.0382,56.0777,Detailed_Mapping
916,AL YUFRAH 2,58,26.0432,56.0827,Detailed_Mapping
917,AL MARMOOM,94,26.0482,56.0877,Detailed_Mapping
918,AL YUFRAH 3,4,26.0532,56.0927,Detailed_Mapping
919,AL YUFRAH 4,3,26.0582,56.0977,Detailed_Mapping
921,AL YALAYIS 1,1114,26.0632,56.1027,Detailed_Mapping
922,AL YALAYIS 2,1364,26.0682,56.1077,Detailed_Mapping
923,AL YALAYIS 3,4,26.0732,56.1127,Detailed_Mapping
924,AL YALAYIS 4,8,26.0782,56.1177,Detailed_Mapping
925,AL YALAYIS 5,100,26.0832,56.1227,Detailed_Mapping
931,AL LESAILY,2856,26.0882,56.1277,Detailed_Mapping
941,GRAYTEESAH,55,26.0932,56.1327,Detailed_Mapping
945,AL FAGAA',417,26.0982,56.1377,Detailed_Mapping
951,SAIH AL SALAM,607,26.1032,56.1427,Detailed_Mapping
956,AL HATHMAH,35,26.1082,56.1477,Detailed_Mapping
961,AL SELAL,665,26.1132,56.1527,Detailed_Mapping
967,GHADEER BARASHY,7,26.1182,56.1577,Detailed_Mapping
971,SAIH AL DAHAL,16,26.1232,56.1627,Detailed_Mapping
975,AL O'SHOOSH,0,26.1282,56.1677,Detailed_Mapping
978,SAIH SHUA'ALAH,3,26.1332,56.1727,Detailed_Mapping
981,MUGATRAH,804,26.1382,56.1777,Detailed_Mapping
987,AL LAYAN 1,10,26.1432,56.1827,Detailed_Mapping
988,AL LAYAN 2,0,26.1482,56.1877,Detailed_Mapping
991,HEFAIR,0,26.1532,56.1927,Detailed_Mapping
