Community_Number,Community_Name,Population,Latitude,Longitude
412,AL KHEERAN,4982,25.2048,55.2708
413,RAS AL KHOR,2,25.2048,55.2708
415,AL KHAIRAN FIRST,587,25.2048,55.2708
416,NAD AL HAMAR,14216,25.2048,55.2708
421,AL WARQAA FIRST,24679,25.2048,55.2708
422,AL WARQAA  SECOND,10689,25.2048,55.2708
423,AL WARQAA THIRD,14728,25.2048,55.2708
424,AL WARQAA FOURTH ,13452,25.2048,55.2708
425,AL WARQAA FIFTH ,60,25.2048,55.2708
431,WADI ALSHABAK ,55,25.2048,55.2708
501,NAKHLAT JABAL ALI,5,25.2048,55.2708
502,AL WAJEHAH AL BHARIYAH,4,25.2048,55.2708
511,HESSYAN FIRST,3492,25.2048,55.2708
512,HESSYAN SECOND,45,25.2048,55.2708
513,SAIH SHUAIB 1,9,25.2048,55.2708
516,JABAL ALI INDUSTRIAL THIRD,2462,25.2048,55.2708
518,JABAL ALI INDUSTRIAL SECOND,23000,25.2048,55.2708
521,MADINAT AL MATAAR,2697,25.2048,55.2708
531,SAIH SHUAIB 2,14491,25.2048,55.2708
532,SAIH SHUAIB 3,11144,25.2048,55.2708
533,SAIH SHUAIB 4,11170,25.2048,55.2708
591,JABAL ALI FIRST,75287,25.2048,55.2708
592,JABAL ALI  SECOND,1570,25.2048,55.2708
593,JABAL ALI THIRD,1513,25.2048,55.2708
594,MENA JABAL ALI,24487,25.2048,55.2708
597,DUBAI INVESTMENT PARK2,60630,25.2048,55.2708
598,DUBAI INVESTMENT PARK1,69956,25.2048,55.2708
599,JABAL ALI INDUSTRIAL FIRST,128975,25.2048,55.2708
611,BU KADRA,16,25.2048,55.2708
612,RAS AL KHOR IND. FIRST,2550,25.2048,55.2708
613,RAS AL KHOR IND. SECOND,2514,25.2048,55.2708
614,RAS AL KHOR IND. THIRD,21834,25.2048,55.2708
615,NAD AL SHIBBA SECOND,2389,25.2048,55.2708
616,NAD AL SHIBBA THIRD,767,25.2048,55.2708
617,NAD AL SHIBBA FOURTH,3685,25.2048,55.2708
618,NAD AL SHIBBA FIRST,5948,25.2048,55.2708
621,WARSAN FIRST,106072,25.2048,55.2708
622,WARSAN SECOND,1568,25.2048,55.2708
624,WARSAN FOURTH,8994,25.2048,55.2708
626,NADD HESSA,38494,25.2048,55.2708
631,HADAEQ SHEIKH MOHAMMED BIN RASHID,1563,25.2048,55.2708
643,WADI AL SAFA 2,10519,25.2048,55.2708
645,WADI AL SAFA 3,9764,25.2048,55.2708
646,WADI AL SAFA 4,2,25.2048,55.2708
648,WADI AL SAFA 5,21241,25.2048,55.2708
664,WADI AL SAFA 6 (ARABIAN RANCHES),18213,25.2048,55.2708
665,WADI AL SAFA 7,8473,25.2048,55.2708
671,AL BARSHA SOUTH FIRST,13717,25.2048,55.2708
672,AL BARSHA SOUTH SECOND,7509,25.2048,55.2708
673,AL BARSHA SOUTH THIRD,6929,25.2048,55.2708
674,AL HEBIAH FIRST,10598,25.2048,55.2708
675,AL HEBIAH SECOND,1523,25.2048,55.2708
676,AL HEBIAH THIRD,6845,25.2048,55.2708
677,AL HEBIAH SIXTH,2322,25.2048,55.2708
681,AL BARSHA SOUTH FOURTH,25974,25.2048,55.2708
682,AL HEBIAH FOURTH,20611,25.2048,55.2708
683,AL HEBIAH FIFTH,9748,25.2048,55.2708
684,AL BARSHA SOUTH FIFTH,7384,25.2048,55.2708
685,ME'AISEM FIRST,18002,25.2048,55.2708
686,ME'AISEM SECOND,12,25.2048,55.2708
711,AL AWEER ONE,4107,25.2048,55.2708
721,AL AWEER TWO,5236,25.2048,55.2708
724,ENKHALI,26,25.2048,55.2708
727,AL WOHOOSH,46,25.2048,55.2708
731,LEHBAB FIRST,3197,25.2048,55.2708
735,AL MERYAL,754,25.2048,55.2708
736,NAZWAH,544,25.2048,55.2708
811,WARSAN THIRD,13579,25.2048,55.2708
812,AL ROWAIYAH FIRST,3127,25.2048,55.2708
813,AL ROWAIYAH SECOND,25,25.2048,55.2708
814,AL ROWAIYAH THIRD,4429,25.2048,55.2708
821,MEREIYEEL,1119,25.2048,55.2708
824,UMM AL DAMAN,283,25.2048,55.2708
826,LE HEMAIRA,53,25.2048,55.2708
831,LEHBAB SECOND,1511,25.2048,55.2708
835,UMM AL MO'MENEEN,309,25.2048,55.2708
841,MARGHAM,1005,25.2048,55.2708
845,AL MAHA,193,25.2048,55.2708
847,UMM ESELAY,204,25.2048,55.2708
851,REMAH,232,25.2048,55.2708
857,MARGAB,628,25.2048,55.2708
861,YARAAH,94,25.2048,55.2708
891,HATTA,14045,25.2048,55.2708
911,UMM NAHAD FIRST,8,25.2048,55.2708
912,UMM NAHAD SECOND,2,25.2048,55.2708
913,UMM NAHAD THIRD,1347,25.2048,55.2708
914,UMM NAHAD FOURTH,4,25.2048,55.2708
915,AL YUFRAH 1,403,25.2048,55.2708
916,AL YUFRAH 2,58,25.2048,55.2708
917,AL MARMOOM,94,25.2048,55.2708
918,AL YUFRAH 3,4,25.2048,55.2708
919,AL YUFRAH 4,3,25.2048,55.2708
921,AL YALAYIS 1,1114,25.2048,55.2708
922,AL YALAYIS 2,1364,25.2048,55.2708
923,AL YALAYIS 3,4,25.2048,55.2708
924,AL YALAYIS 4,8,25.2048,55.2708
925,AL YALAYIS 5,100,25.2048,55.2708
931,AL LESAILY,2856,25.2048,55.2708
941,GRAYTEESAH,55,25.2048,55.2708
945,AL FAGAA',417,25.2048,55.2708
951,SAIH AL SALAM,607,25.2048,55.2708
956,AL HATHMAH,35,25.2048,55.2708
961,AL SELAL,665,25.2048,55.2708
967,GHADEER BARASHY,7,25.2048,55.2708
971,SAIH AL DAHAL,16,25.2048,55.2708
975,AL O'SHOOSH,0,25.2048,55.2708
978,SAIH SHUA'ALAH,3,25.2048,55.2708
981,MUGATRAH,804,25.2048,55.2708
987,AL LAYAN 1,10,25.2048,55.2708
988,AL LAYAN 2,0,25.2048,55.2708
991,HEFAIR,0,25.2048,55.2708
