Facility_Name,Latitude,Longitude,Type
The Dome Meddental Clinic Dmcc,25.062825067902896,55.13774296144424,General Dentistry
Talking Brains Center -FZE,25.112007542620702,55.38445621764951,Speech Therapy
A C E Optical,25.050227447878868,55.133898248473045,Optometry
Bloom Aesthetic Andlaser Clinic L L C,25.1419357916435,55.206546319550384,Plastic Surgery
Ranches Primary School,25.029200170255027,55.27161754206384,General Practice
American University In Dubai,25.090719619789244,55.15594672416817,Nursing
Legacy Dental Center L L C,25.18932924792316,55.26964307132738,General Dentistry
DERMA ONE MEDICAL CENTRE DMCC,25.064643396808577,55.13848370750198,Dermatology
Shapoorji Pallonji Mideast LLC - Company Clinic,24.97390110058448,55.203025638771614,General Practice
Taiy Pradit Physical Medicine And Rehabilitation Center L L C Branch,25.136864279257992,55.197185488900914,Physiotherapy
ISD Medical Clinic LLC,25.038613409537184,55.22689289786612,Clinical Dietetics and Nutrition
3 Nveneers Dental Laboratory,25.221504173124817,55.281378745111176,Dental Lab - Dental Clinical Support
D N A Health Medical Center LLC,25.152883445963926,55.215310154473,Family Medicine
Smile Essentials Dental Clinic L.L.C,25.24573892187588,55.30223701909664,General Dentistry
Luminance Dental Center,25.14575039629766,55.40186048599703,Implantology
Luminance Dental Center,25.14575039629766,55.40186048599703,General Dentistry
Dr Racha Ghazal Cosmetic Dentistry LLC,25.22844205965744,55.261056058902895,General Dentistry
Clove Dental Clinic LLC,25.218050973728097,55.27908709562722,General Dentistry
Bin Arab Dental Centre Branch,25.178553922633245,55.234607589639246,General Dentistry
Manhal Medical Center LLC,25.17724678958562,55.24527577143766,General Dentistry
CRYO HEALTH CLINIC L.L.C,25.216967627206635,55.28223485408185,Physiotherapy
Oak Tree Primary School L L C,25.149492888708792,55.24730164341846,General Practice
Widad Center For Disability And Child Development,25.21216329655164,55.27097811927578,Speech Therapy
Hoor Al Aliaa Polyclinic L L C,25.150045598880528,55.21247109403388,General Dentistry
Lafamilia Medical Center LLC,25.082801507773148,55.2030510238951,Pediatrics
Kent College Llc - Fz,25.125447112025565,55.35742687927995,Nursing
Dr Joy Dental Clinic- Llc Branch-Ummsuquim,25.14313585170704,55.2072965123915,Orthodontics
Vienna Dental Clinic Fz LLC,25.08949908895892,55.15221753162812,General Dentistry
Alpha Medical Laboratory,25.10314895511017,55.17688516594053,Clinical Pathology
Ideal Fit Rehabilitation Center LLC,25.209862589697405,55.255434110007634,Clinical Dietetics and Nutrition
Optic Point Optics L L C,25.27539500744926,55.31161662594998,Optometry
Pure European Chiropractic And Physiotherapy Center,25.0469026109939,55.23602540068247,Chiropractor
Tamam Optical L.L.C,25.267013339349315,55.37991897208185,Optometry
Prime Medical Center Reef Mall Br Of Prime Medical Center L L C,25.270426850138588,55.32213272269337,Internal Medicine
Oxygen Plus Medical Center L L C,25.229588985084355,55.28695003573709,Implantology
Emirates British Nursery,25.222648300994663,55.43533830128988,Nursing
Dibber Early Childhood Center ,25.027138860919536,55.27501970534704,Nursing
Red Wood Nursery Br Of Kids First Group L L C,25.11243916900731,55.1403441232483,Nursing
Amity Early Learning Center LLC,25.054794036669783,55.16697943806077,Nursing
Skin Iii LLC,25.2139449736188,55.28273321012723,General Practice
VELCARE ORTHODONTIC & DENTAL CLINIC L.L.C,25.189857836836197,55.40450401609336,General Dentistry
Emirates Airline Clinic Branch 3,24.86369400958026,55.15576995156584,General Practice
Kashmah Opticals L.L.C,25.261551380716664,55.441374681774384,Optometry
New Ivory Dental And Implant Clinic LLC,25.19221381543336,55.26648103010034,Implantology
Via Medical Center And Plastic Surgery,25.20938209726029,55.24567265068669,Plastic Surgery
Newlands School,25.185910547175617,55.4017693363646,General Practice
Vip Doctor L.L.C,25.143361719374088,55.24660767316853,General Practice
Duval Digital Smile Design Polyclinic LLC,25.209651507070017,55.24636544900465,General Dentistry
Anatomy Rehab LLC,25.105345752223865,55.149627523428414,Physiotherapy
Bulgari Resort Dubai L.L.C,25.170577,55.150404,Nursing
Rivoli Br Of Rivoli Enterprises Llc Dubai Marina,25.07623372510585,55.14070368757004,Optometry
Lutetia Br Of Al Futtaim Aesthetics Clinics Single Person Company,25.226438246288424,55.35251098521075,Plastic Surgery
Behaviour Enrichment Child Therapy Centre,25.109738201741017,55.19745542275148,Speech Therapy
Vip Doctor L.L.C Branch,25.131808091360355,55.18442295746566,General Practice
Clinica Sabah LLC,25.150359362149704,55.19951993448012,Prosthodontics
Dr Joy Dental Clinic Llc Branch- Palm Jumeirah,25.11041587089447,55.14189224326275,Pediatric Dentistry
Dr Safar Al Shahrani Medical Centre,25.2622592845516,55.32643896841159,General Dentistry
Casa Optics Llc Branch,25.232823433967983,55.277310962326965,Optometry
Star Bright Early Intervention Center,25.18490319407634,55.28103313013184,Speech Therapy
Hareer Medical Centre L L C,25.11878019552068,55.207411409808806,General Practice
Aster Optics 5 Br Of Aster Opticals LLC,25.17851410959373,55.24719949076927,Optometry
YOGA ASHRAM DMCC ,25.08005360537836,55.152960982948606,Physiotherapy
Medsol Dubai Medical Laboratory Br of Medsol Al Abbar Laboratories for Research & Medical Analysis LLC,25.26494914093671,55.32133132346966,Clinical Pathology
Dentcare J B R Medical Center,25.080803829467204,55.13819912133965,General Dentistry
Al Abrah Clinic,25.269038655001538,55.29527599321336,General Dentistry
White Line Dental Clinic LLC,25.265854211385065,55.31990331128805,General Dentistry
Bin Arab Dental And Medical Centre,25.2636,55.3226,General Dentistry
Aysha Mohamed Dental Clinic L L C ,25.2623,55.329,General Dentistry
Al Ula Clinic,25.24588578610426,55.30730684938928,General Practice
Dr. Zeinab Dental Clinic,25.2478,55.3007,General Dentistry
Dental Home,25.2380381378199,55.27285876335402,General Dentistry
labib dental center LLC,25.236947550179583,55.42062053148483,General Dentistry
Dr. Radhi Al Hilou E.N.T. Clinic,25.24151479468277,55.27163591928017,Otolaryngology
Dr. Michael Dental Clinic,25.2054,55.252,General Dentistry
Dr. Jack Dental Clinic,25.26862613001195,55.30815475488612,General Dentistry
Medlink Clinic,25.22963701954868,55.26292826589539,Obstetrics and Gynecology
Dr. Mohammed Kunhi Medical Clinic,25.2737,55.3023,General Practice
Dubai Optical - City Centre,25.2517,55.3328,Optometry
Osteopathic Health Centre,25.148281836905653,55.211086403629935,Osteopathy
Perfect Vision - Al Musalla Branch,25.262645319124477,55.29862245782422,Optometry
Lunettes(House Of Quality Optics)- Umm Soqeim Branch,25.168603601771185,55.22838845199757,Optometry
Lunettes(House Of Quality Optics) L.L.C,25.004599333127217,55.16487897472594,Optometry
Yateem Optician - Al Riga Branch,25.2656,55.3205,Optometry
Al Sham Optics - Naif Branch,25.27133180635949,55.302271968056594,Optometry
The General Medical Centre Br2Of G M C Healthcare LLC,25.225355993040367,55.28220199053668,General Dentistry
Al Safa Opticals,25.272014779062264,55.30228880239213,Optometry
Al Rashid Al Saleh Pvt. School Clinic,25.2369,55.3181,General Practice
Shabab Alahli Club Clinic,25.29173816095843,55.35097805011026,Physiotherapy
Buds Public School,25.240550546613523,55.40719921548271,Nursing
Dubai National School(Al Qusais),25.278746829873796,55.36859865451362,General Practice
Dubai Carmel School,25.2965691113498,55.37952040042271,Nursing
Dubai Gem Pvt.School Clinic,25.23618981759955,55.31562313888065,General Practice
RED WOOD NURSERY1(BR OF KIDS FIRST GROUP L.L.C),25.244170912291807,55.34752557463828,Nursing
Little Land Nursery,25.15720051217048,55.2085877974664,Nursing
The Oxford School,25.28112590225839,55.402456908951066,General Practice
Pakistan Education Acedemy,25.241894357082924,55.31692033639801,General Practice
Queen International School,25.283353566698768,55.34863710752047,Nursing
Our Own Indian School. School Clinic,25.17136422505695,55.260576521783136,General Practice
The Westminster School(Br Of Gems Wellington Academy FZE) Dubai Branch,25.2831,55.3709,General Practice
Dubai Center For Special Needs,25.1898,55.2526,General Practice
Emirates British Nursery Lcc Branch,25.043471815881187,55.23235126791894,Nursing
OPTICRAFT TRADING L L C,25.24569099576972,55.30208691889017,Optometry
Vision and Style Opticals,25.2718,55.3727,Optometry
STANDARD MEDICAL CLINIC L L C,25.1395,55.2036,General Dentistry
Pearl Medical Clinic,25.26820700141074,55.305518140682594,General Dentistry
Super Vision Optical Bin Sougat Center,25.23272941423022,55.3852598955457,Optometry
Rashid Center for People of Determination,25.117698690216365,55.20532556462692,Nursing
Dentamax Medical Center,25.267080309068987,55.38010117779998,Homeopathy
Childrens Oasis Nursey,25.147495614388163,55.20056569022611,Nursing
Yateem Optic - Al Dayafah Road,25.23750774099048,55.27475601067327,Optometry
Seven Dental Centre,25.18223956695309,55.22514251997249,General Practice
DENTAL STUDIO BEACH ROAD L L C,25.1843,55.2278,General Dentistry
Delhi Private School,25.039,55.1219,General Practice
New Derma Health International Medical Centre,25.23450147026194,55.27821169746928,Orthodontics
Dubai Autism Rehabilitation and Care Center,25.240270542004367,55.34709149976759,Clinical Psychology
The Winchester School,25.040598646760955,55.12096007359691,General Practice
Galadari Motor Driving Center,25.290442179548187,55.400820407605536,Optometry
Al Hamriya Optics,25.283959309956607,55.341259313437895,Optometry
cosmo health medical center ,25.16560447938744,55.22440503879664,Dermatology
Al Jameela Polyclinic,25.276661658369093,55.31307239428425,Obstetrics and Gynecology
American International School,25.28348198779992,55.36857030421426,General Practice
Senses Residential and Day Care for Special Needs,25.135080810220185,55.19500558391901,General Practice
Al Rowaad Dental Center,25.26504262301394,55.32658781001192,General Dentistry
Dubai Cosmetic Surgery,25.16605849309423,55.21362765589707,General Practice
Yateem Optician - Souk Madinat Jumeirah,25.133717228534184,55.186064604026384,Optometry
French International Private School,25.24126348823772,55.313255574829405,Nursing
Dubai International Private School- Br,25.168953076959745,55.26369005446812,General Practice
Al Nibras Private School,24.999831743479977,55.1723117546365,General Practice
Providence Dental Centre,25.246185157127936,55.301771174361086,General Dentistry
Widex Medical Equipment,25.21408594490145,55.27687477605245,Audiology
Philadelphia Private School,25.27821964595963,55.40168570060182,General Practice
Spex Optician(L.L.C),25.278674417145577,55.38600577628874,Optometry
Silkor Laser Hair Removal,25.1583,55.2061,Dermatology
Iwona Specialty Clinic LLC,25.17215639008174,55.217462947956086,Plastic Surgery
Barakat Optical Br.Dubai Outlet,25.07264185941257,55.40003597469883,Optometry
Opti Vision Glasses Trading LLC,25.22228827205205,55.35380449510746,Optometry
Al Jaber Optical Center(Br),25.073038218406893,55.4012001494979,Optometry
Intercontinental Dubai Festival City - Hotel,25.219858942401792,55.35133825529352,Nursing
Med Gate Center,25.159061095934984,55.20751125534717,Neurosurgery
Malak Typing . Photocopying and Optical,25.124019035161588,55.20516308029667,Optometry
Kaya Skin Care Clinic(Marina Branch),25.08214775136208,55.13826576981933,Dermatology
Drs. Nicolas and Asp Centre (Branch),25.06596248367266,55.1921691689283,General Dentistry
M and A Beauty Center,25.2251877028685,55.41819834753142,Dermatology
University Of Dubai,25.10581810961021,55.41391136129891,Nursing
Cocoona Aesthetic Transformation Centre,25.165126222104863,55.22358774679391,Plastic Surgery
Infinity Dental Center Dmcc,25.06851071941664,55.14065145475986,General Dentistry
Medwin Medical Centre,25.1812,55.2243,Endocrinology
Emirates Down Syndrome Association  ,25.28261166112549,55.37515094469123,Occupational Therapy
FIRST PRIORITY MEDICAL CENTER,25.202292925438453,55.267986371512805,General Dentistry
Rond Point Clinic,25.230602561519696,55.26171519426188,Dermatology
Dubai Marina Nursery(Br- Of Raffles Int. School),25.084915830801336,55.14878830240752,Nursing
Dental Health Clinic,25.0407336697288,55.11640657107409,General Dentistry
Al Taie Center For Laparoscopic And Obesity Surgery,25.1948,55.2357,General Surgery
Cars Taxi - Company Clinic ,25.120340301678628,55.21957525988595,Nursing
Sultan Al Olama Medical Center- Br,25.139627909364265,55.21706139117896,Prosthodontics
Rivoli Eye Zone Dubai Mall Br-Excel Enterprises LLC,25.196886470361928,55.28055134061215,Optometry
Al Wasl Sport Club,25.21786061992619,55.31733371458365,Sports Medicine
M M I Dental Center,25.20093489906304,55.26679999200186,General Dentistry
Cosmesurge Clinics Llc Branch,25.085501424060283,55.14132323679993,Dermatology
Pharaohs Physical Medicine & Rehabilitation  Center L.L.C,25.229270195333942,55.31966170996811,Physiotherapy
TINKERMOON POLY CLINIC LLC,25.22842345882692,55.26100709715281,General Dentistry
Vernus International Primary School,25.124388887532305,55.40496498744002,Nursing
yaqin medical center,25.252800369358887,55.342177503991685,Dermatology
GULF CARE DIAGNOSTIC CENTER LLC,25.25949593947826,55.29402891130592,Clinical Pathology
COSMO STAR POLY CLINIC,25.22435664331377,55.26547017076267,General Dentistry
Dr. Roze Biohealth Clinics,25.214000203888293,55.28155542211723,General Dentistry
La Joya Poly Clinic,25.29765580211684,55.36015529787942,General Dentistry
HEALTH AVENUE PLUS POLYCLINIC LLC,25.090091775830853,55.31534349540803,General Practice
Gulf Family Clinic DMCC ,25.079266385727923,55.149670636725936,Ophthalmology
VALERA CLINICS,25.21860199847817,55.25360725771644,Plastic Surgery
SPRINGFIELD INTERNATIONAL SCHOOL L.L.C,25.17373813783422,55.53745617163883,General Practice
Veil O Laser and cosmetic center LLC,25.26179315204832,55.319615899510886,Dermatology
REACH CHILD DEVELOPMENT AND FAMILY SUPPORT,25.20103623627238,55.41389778261577,Speech Therapy
Physio Plus,25.152095393301128,55.21334080030696,Physiotherapy
A H T AESTHETIC MEDICAL CENTER,25.118794551259448,55.20743143803614,Plastic Surgery
MERINT DETERMINATION CENTER LLC,25.267530041770325,55.40575115946625,Speech Therapy
RIVOLI EYE ZONE BR OF EXCEL ENTERPRISES L L C,25.101521494029715,55.23874413653251,Optometry
Maharat Learning Center,25.231683648437155,55.3470848834524,Speech Therapy
Adora Medical Center LLC,25.2448048822001,55.339545935175614,General Practice
Dubai Electricity Water Authority  AL HUDAIBA BR,25.244523310708388,55.28200653252843,Nursing
Al Wasl Aesthetic Poly Clinic,25.1632760480296,55.222010549173504,Urology
AL SHAN OPTICALS L.L.C (BRANCH),25.28728178172717,55.36966256793306,Optometry
J HOPKINS MEDICAL AND COSMETIC CENTER,25.11162587260568,55.38342084168217,Implantology
Apex Medical Clinics LLC Branch,25.04619226512457,55.2354344532293,General Dentistry
Medrose Medical center LLC,25.09645499992435,55.17669805438925,General Practice
OURONYX CLINIC L.L.C,25.188146162950527,55.26709032913178,General Practice
QUTTAINAH PHARMACY L.L.C,25.139976027080724,55.20417276925596,Pharmacy
TITAN GLOBAL RETAIL LLC  BRANCH ,25.253343254902365,55.3021254122385,Optometry
JOINT SPACE POLYCLINIC LLC,25.143201504544823,55.22463016625902,General Practice
Aesthetica shyma poly clinic ,25.04594765259543,55.23555428813941,General Practice
ORIS DENTAL CENTER BRANCH 1,25.23263039113228,55.434614255872965,General Dentistry
ASTER MEDICAL CENTRE JABAL ALI 2 BR OF DM HEALTHCARE LLC,25.00666365387693,55.10553229089945,General Practice
Dr Freda Medical Center,25.22645880004878,55.34051061613051,General Dentistry
Wellbeing Care Clinic LLC,25.148264324762305,55.21087808870841,Orthopedic Surgery
BROWNS AND CO CLINIC L.L.C,25.216481192052825,55.260632252372105,General Practice
Nagem Dental Diet & Laser Center LLC Branch,25.04551601714457,55.23190388652984,General Dentistry
INFRAFIT SLIMMING THERAPY CENTER LLC,25.18865851657928,55.38357008941617,Physiotherapy
THE AMERICAN EUROPEAN PLASTIC SURGERY CLINIC L.L.C,25.12623584904452,55.20506626058569,Plastic Surgery
WINDSOR MEDICAL CENTER L.L.C,25.16382268876229,55.22327644398529,Psychiatry
GENIX EYE WEAR TRADING LLC,25.274974909491245,55.29785017990359,Optometry
BIONIX MEDSPA LLC (BRANCH) ,25.11887567784997,55.20740257766138,Plastic Surgery
VISION & STYLE OPTICALS (LLC) (BR),24.995378884658603,55.15463705646102,Optometry
APPOLONIA PEDIATRIC DENTAL CENTER L.L.C-DUBAI BRANCH,25.142588152494778,55.20655400184513,Orthodontics
HEALIA MEDICAL CENTER L.L.C,25.13957257153649,55.21700440567224,Obstetrics and Gynecology
ASTER OPTICS 8 BR OF ASTER OPTICALS LLC,25.188949584394425,55.40816134356887,Optometry
En Vogue Beauty & Medical Center Ltd,25.20526551953237,55.27498531277004,Dermatology
National Charity School Boys,25.23862923549853,55.34658328329735,General Practice
Studio Republik Physiotherapy Center,25.131447895571892,55.21104814320474,Massage - Physiotherapy
STILA OPTICALS TRADING LLC,25.272399904811444,55.30218819971045,Optometry
Drrosan Humydani Dermatology Andbeauty Clinic LLC,25.19645650417027,55.24598283539229,Dermatology
Hemam Learning Difficulties Center,25.10924333304295,55.18388089099889,Speech Therapy
AVANTI WORLDS FINEST EYEWEAR,25.21332363710883,55.28044828365193,Optometry
FRAME BY SARAH BATTIKHA DERMATOLOGY CLINIC,25.216014921016583,55.26004012153793,Dermatology
Tajmeel Royal Clinic,25.13158793981739,55.21196764259459,Dermatology
MVR Diagnostic Clinic LLC,25.252423311361618,55.342903334115206,Diagnostic Radiology
Seven Dimensions Medical Center LLC,25.057086898037284,55.241958545572345,General Dentistry
Takeoff beauty clinic L.L.C,25.28752840810695,55.40066618228422,General Practice
Landmark Group -Company Clinic,25.00092527381244,55.11179229006071,General Practice
AVA AESTHETIC POLY CLINIC,25.118768577578205,55.20738338558931,General Dentistry
MAHAN POLY CLINIC L L C,25.180565698388147,55.26763383961038,General Practice
BLOSSOMS CHILD DEVELOPMENT CENTRE L.L.C,25.28761258592452,55.36897512957776,Speech Therapy
Leila Hariri Dental and Medical Aesthetics LLC,25.206199438970383,55.25285084023589,General Dentistry
Clover Medical Centre LLC (Branch),25.222282448116527,55.44125615433077,Endodontics
Bella Rose Plus Medical Center,25.229878299112,55.262847884132455,General Dentistry
Zabeel Medical Center - PHC,25.202181,55.283804,Family Medicine
Visique optical Retail Spectacles trading LLC ,25.103795265135645,55.2391655975307,Optometry
Nadd Al Hammar Medical Center - PHC,25.199377,55.378917,Family Medicine
A G CARE MEDICAL CENTER FZCO ,25.123072654456035,55.39970372514557,General Practice
BODY MECHANICS L.L.C,25.221877257466005,55.40838639500672,Physiotherapy
BENESSERE POLY CLINIC L L C,25.160887021141296,55.40915662679388,General Practice
Apex Dental And Implant Clinic-FZCO,25.121558364489683,55.373417892621646,General Dentistry
VISION & STYLE OPTICALS (L.L.C) (BRANCH ),25.03284903245515,55.140861896849366,Optometry
BEAUTY STYLE CLINIC,25.22299093007735,55.28230236984792,Family Medicine
KINETIC Integrated health centre L.L.C,25.163569787400032,55.22307008982748,Osteopathy
Smart Opticals,25.245598369465952,55.30291030460379,Optometry
Al Qusais Star PolyClinic (Branch),25.26019312513595,55.42466359953831,Internal Medicine
Harmony Centre For Child & Adolescent  Mental Health FZ LL,25.23424976466259,55.318120873698064,General Practice
Circle Care Clinic LLC,25.14338280129097,55.20003610552904,Pediatrics
ART OF AESTHETIC POLY CLINIC,25.19112666531593,55.27807447740129,General Dentistry
GENOMED POLY CLINIC,25.18801207955616,55.26170467329364,General Practice
HOLLYWOOD SMILE FIVESTAR POLYCLINIC  L L C,25.192703560339627,55.23409000965832,General Practice
LA BELLEZA AESTHETICA CLINIC L.L.C,25.18871404032828,55.38375216034928,General Dentistry
REBORN CLINIC LTD,25.21388251314719,55.28099923884464,General Surgery
Lens and Frames Optics Trading L.L.C (Br),25.24701380450982,55.30249860784316,Optometry
OYOON LULU EYEXPRESS OPTICAL - DUBAI BRANCH,25.279310364180837,55.361814905278095,Optometry
KINDER CASTLE MEYDAN NURSERY L.L.C - FZ,25.142223313207197,55.31497174189918,Nursing
VIP Doctor LLC branch,25.083218207162115,55.31786859730505,General Practice
Odyssey Nursery LLC ,25.16440021529852,55.27457670170259,Nursing
Viva Dental Laboratory,25.242343081833035,55.27542193476605,Dental Lab - Dental Clinical Support
Signature By Dr Naeem Orthodontic And Dentofacial Aesthetic,25.200395764422577,55.2668315772497,Orthodontics
JUMAIRAH INTERNATIONAL NURSERY BRANCH,25.076927662500378,55.13462508477232,Nursing
AL Zikra Opticals L.L.C,25.282796650200822,55.340929725323086,Optometry
Al Boom Marine LLC Branch,25.25086377846029,55.3335366478978,Optometry
AL LAILAK ALABYAD GENERAL DENTAL CLINIC,25.25872664419924,55.32408116840016,General Dentistry
FACES AND BRACES DENTAL CLINIC L.L.C,25.25499715918132,55.30511175211497,General Dentistry
Magnum VIP Clinic LLC ,25.060327488120137,55.24107838805089,Orthodontics
PEARL DENTAL CLINIC L.L.C (BRANCH),25.186044884990743,55.23799760067303,General Dentistry
Movement ON Physiotherapy Center,25.26568058396709,55.32987944792869,Physiotherapy
Zieda Aesthetics Clinic L.L.C,25.223987362466303,55.25709527928559,Dermatology
CSHP BEAUTE CONCEPT POLY CLINIC L.L.C,25.218935078025325,55.2531688381501,Plastic Surgery
Seven D Medical Center,25.145672134173843,55.1958554249437,Dermatology
Odyssey Nursery LLC (Branch),25.130315469736747,55.20379111397837,Nursing
Maris Aesthetic Clinic LLC,25.218057220073327,55.26131765297419,Plastic Surgery
BEIJING TONG REN TANG GULF MEDICAL CLINIC,25.15200569852648,55.20136196619375,Traditional Chinese Medicine (TCM)
Vikas Ear Piercing Services Co,25.125455819093737,55.209527285821,Nursing
recovery hub medical center,25.185291250259787,55.38118665111752,General Practice
KINESIS POLY CLINIC LLC,25.079351413473912,55.15740886383535,Physiotherapy
AL AMIN OPTICALS LLC - DUBAI BRANCH,25.114657723135423,55.20516335492038,Optometry
ORANGE SEEDS NURSERY BRANCH,25.119144455553144,55.376118030450655,Nursing
Gravity Dental Poly clinic L.L.C,25.29813735748203,55.38153760140331,General Dentistry
NOUR MARINA CLINIC L.L.C,25.09335213689972,55.14874509728596,General Practice
HIGH LIGHT DENTAL LABORATORY,25.109520214017493,55.18404659739426,Dental Lab - Dental Clinical Support
E LIVE BEAUTY SPOT Dermatology Clinic,25.173704081432,55.25525508397928,Obstetrics and Gynecology
CHUBBY CHEEKS NURSERY BRANCH,25.096441255980785,55.17663471338151,Nursing
GLANCE OPTICS LLC,25.046191741354217,55.24212543728459,Optometry
Morad Saleh Optics,25.111171463527818,55.202268473855405,Optometry
KBM Dental Laboratory LLC,25.271273061595437,55.38138654641645,Dental Lab - Dental Clinical Support
clinica cosmetic poly clinic l.l.c ,25.179431376133408,55.23395723011247,General Practice
Eye 2 Eye Optics Trading LLC Branch2,25.214163236701488,55.31576089903998,Optometry
VISION & STYLE OPTICALS (LLC) (BRANCH),25.047917179786644,55.129830474085296,Optometry
AL DAS MEDICAL CLINIC (BRANCH),25.11133289683752,55.14197519014891,Obstetrics and Gynecology
COSMO SECRETS MEDICAL CENTRE L.L.C (BRANCH),25.11887715324593,55.37743188391225,Dermatology
Center For Rehabilitation & Readiness Enhancement,25.222776145432388,55.32402553479309,Physiotherapy
YAH POLYCLINIC,25.003155344189143,55.28736884710871,General Dentistry
Eye 2 Eye Optics Trading LLC Branch,25.289541466291045,55.34722040220933,Optometry
royal smile dental clinic ,25.17747652178496,55.24567564319544,General Dentistry
Almoosa Diagnostic Center,25.235617533533727,55.27047549717866,Clinical Pathology
UCRYO WELLNESS,25.209107711696,55.277471745718366,Physiotherapy
HOBBS CLINIC LLC,25.173480599676235,55.221512935248505,Otolaryngology
Pulse Medical Centre,25.277088722237643,55.34823470754115,General Practice
EYE CARE OPTICS INTERNATIONAL LLC ,24.970008904924445,55.20803674709813,Optometry
